Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
IVAC,-,67.97M,-8.89M,65.57M,4.17,2.34,-,-,-,128,Yes / Yes,147.87%,-19.66%,-,-,-,1.04,0.61,1.08,20.91,4.59,6.41,0.06,0.05,46.67%,-24.00%,-0.33,-0.37,-0.21,-3.19%,23.71%,8.00%,-,-4.73%,36.17%,28.52%,-34.67%,59.11%,-32.24%,5.15%,0.00%,68.44%,-6.28%,-6.92%,-8.78%,-7.52%,34.69%,-17.35%,-13.55%,-,Nov 11 AMC,,26.40M,25.58M,0.47%,2.15,0.12M,2.46 - 4.57,-44.86%,2.44%,24.00,2.00,1.46,56.13K,"82,090",-23.64%,-31.34%,-30.96%,-37.93%,-34.88%,-41.67%,0.77,0.17,10.36% 5.21%,7.00,2.58,2.52,-2.33%
IVCA,-,169.02M,5.33M,0.00M,6.64,0.02,-,-,-,2,No / Yes,-,0.67%,38.61,-,-,-,1.76,626.00,-,0.12,0.12,0.02,0.00,-,1.29%,0.30,-,-,-,-,-,-,0.00%,-12.24%,-,-5.31%,-,4.97%,89.83%,0.00%,10.52%,-,2.74%,2.78%,4.94%,-,0.00%,-,0.00%,-,,9.79M,1.47M,0.06%,0.11,0.00M,10.88 - 12.37,-5.58%,7.35%,59.63,-,0.07,8.15K,600,0.00%,2.10%,3.55%,6.42%,11.13%,6.28%,-0.00,0.04,0.00% 0.04%,-,11.70,11.68,-0.17%
IVCB,-,208.02M,5.11M,0.00M,4.44,0.01,-,-,-,-,No / Yes,-,1.20%,42.15,-,-,-,2.60,1155.67,-,0.01,0.01,0.18,0.00,-,3.67%,0.27,-,-,-,-,-,-,0.00%,1683.82%,-,52.48%,-,7.78%,52.94%,0.00%,50.33%,-,3.29%,4.00%,6.39%,-,0.00%,-,-,-,,20.17M,8.48M,0.00%,0.00,0.00M,10.41 - 11.72,-1.45%,10.93%,68.02,-,0.01,156.03K,"1,311",0.00%,2.86%,7.31%,9.63%,15.46%,10.33%,0.00,0.08,0.77% 0.53%,-,11.52,11.55,0.26%
IVCP,-,76.16M,-0.04M,0.00M,1.39,0.00,-,-,-,4,No / Yes,-,0.27%,-,-,-,-,7.98,7616.31,-,0.01,0.01,0.11,0.00,-,0.81%,-0.02,-,-,-,-,-,-,0.00%,-111.37%,-,-147.96%,-,3.53%,82.24%,0.00%,20.28%,-,-0.20%,-0.25%,-0.40%,-,0.00%,-,0.00%,-,,5.62M,1.21M,0.16%,0.13,0.00M,10.45 - 12.20,-9.14%,6.08%,59.88,-,0.00,14.28K,13,0.23%,-0.23%,2.59%,5.57%,8.68%,1.98%,0.02,0.02,0.00% 0.06%,-,11.07,11.09,0.14%
IVDA,-,4.16M,-3.26M,5.31M,2.35,1.41,-,-,-,32,No / Yes,15.60%,5.66%,-,-,-,0.78,0.68,1.15,-,2.04,2.45,0.15,0.07,0.00%,-2.90%,-1.60,-,-,-,-,-,28.97%,36.79%,-1.01%,-30.09%,36.71%,174.78%,-63.17%,5.89%,0.00%,9.67%,22.26%,-38.13%,-52.76%,-53.52%,23.59%,-64.28%,-61.38%,-,Aug 28,,2.26M,2.13M,8.54%,1.80,0.18M,1.27 - 10.16,-84.15%,26.77%,51.47,1.00,3.96,101.12K,"400,496",7.33%,-1.83%,-60.35%,-75.11%,-67.01%,-68.26%,1.09,0.20,11.33% 13.39%,8.00,1.40,1.61,15.00%
IVP,-,7.05M,-14.80M,17.05M,0.18,0.02,-,-,-,156,No / Yes,-,-15.60%,-,-,-,0.41,1.29,10.37,-,0.55,0.63,5.61,4.07,-,-45.73%,-49.20,-,-,-,-,-,-,177.68%,70.51%,6.12%,99.69%,-1.71%,-94.27%,15.83%,-1.00%,0.83%,2.79%,-66.10%,-502.92%,-96.29%,8.88%,-51.55%,-86.77%,-,-,,-,20.73M,2.25%,0.04,0.47M,0.23 - 90.00,-99.75%,-0.48%,32.88,-,0.14,10.43M,"1,454,412",-10.68%,-8.43%,-93.20%,-91.96%,-99.55%,-99.34%,-2.64,0.07,8.90% 26.06%,-,0.24,0.23,-4.16%
IVR,RUT,500.42M,62.52M,0.75M,9.52,2.77,1.60 (19.44%),1.60 (19.44%),"Oct 07, 2024",-,Yes / Yes,-84.94%,-0.27%,6.88,2.79,-,667.23,0.86,2.97,3.27,-,-,6.05,0.00,-13.47%,-4.69%,1.20,2.95,0.73,-40.77%,-7.01%,-,39.28%,-247.73%,386.70%,-99.72%,138.76%,-126.50%,-7.50%,0.31%,0.00%,38.75%,-0.74%,1.41%,10.23%,7.29%,-1470.45%,43548.26%,8357.62%,-,Nov 05 AMC,,60.73M,60.54M,7.16%,3.35,4.34M,7.60 - 9.97,-17.45%,8.29%,44.27,2.80,0.71,1.30M,"925,934",-1.44%,-6.37%,-5.07%,-12.17%,5.38%,-7.11%,1.89,0.20,2.03% 2.61%,9.00,8.20,8.23,0.37%
IVT,RUT,2.35B,6.75M,268.50M,22.76,2.63,0.90 (2.96%),0.89 (2.93%),"Sep 30, 2024",104,Yes / Yes,1.70%,1.68%,308.18,115.13,69.79,8.76,1.34,11.61,23.59,-,-,0.44,0.44,-200.00%,3.29%,0.10,0.27,0.05,43.75%,130.43%,4.42%,-41.15%,1.86%,198.50%,5.88%,35.25%,5.85%,14.53%,0.46%,0.00%,67.91%,1.64%,0.26%,0.41%,0.27%,28.99%,16.24%,2.51%,1109.40%,Oct 29 AMC,,77.13M,76.78M,1.16%,1.83,0.89M,23.53 - 31.37,-2.74%,29.66%,58.15,1.67,0.52,486.84K,"252,343",-1.96%,1.73%,8.93%,23.32%,22.24%,20.40%,-,0.56,1.75% 2.02%,33.00,30.16,30.51,1.16%
IVVD,RUT,84.55M,-225.14M,11.56M,0.70,0.94,-,-,-,94,Yes / Yes,-65.87%,-20.62%,-,23.13,-,7.31,1.06,0.79,-,1.58,1.92,0.02,0.00,-51.11%,-25.35%,-1.95,0.03,-0.07,42.43%,103.07%,-,-,0.00%,-25.72%,-,-41.43%,-,-62.41%,38.59%,-0.25%,56.90%,7.08%,-103.08%,-136.59%,-270.01%,74.00%,-2032.16%,-1946.87%,-,Nov 14 BMO,,110.16M,73.45M,11.26%,16.41,8.27M,0.76 - 5.20,-85.76%,-2.00%,34.66,1.40,1.57,504.11K,"792,360",-24.30%,-23.45%,-14.24%,-67.11%,-50.67%,-81.22%,0.62,0.08,9.15% 7.26%,8.70,0.76,0.74,-2.00%
IVZ,S&P 500,7.82B,-413.60M,5.90B,23.90,3.66,0.82 (4.69%),0.81 (4.67%),"Nov 14, 2024",8489,Yes / Yes,-0.59%,-1.95%,-,9.26,-,1.33,0.73,4.77,6.10,-,-,0.51,0.51,1.88%,-0.26%,-0.92,1.89,0.48,10.84%,12.68%,11.49%,-,1.87%,-170.38%,0.63%,-58.38%,9.43%,7.88%,1.69%,0.00%,87.02%,-1.69%,-0.62%,-1.18%,-1.86%,63.73%,13.02%,-7.01%,-,Oct 22 BMO,,449.50M,441.87M,1.94%,2.41,8.59M,13.53 - 18.94,-7.76%,29.12%,45.87,2.84,1.61,3.56M,"5,719,485",-4.48%,-6.23%,4.99%,9.05%,27.43%,-2.07%,1.42,0.47,2.27% 2.53%,19.19,17.67,17.47,-1.13%
IX,-,24.88B,2.67B,19.02B,119.11,39.80,4.46 (4.11%),1.80 (1.66%),"Mar 27, 2024",33807,No / Yes,-6.54%,0.65%,9.38,8.67,1.03,1.31,0.91,2.73,3.06,-,-,1.60,1.41,10.08%,-3.70%,11.58,12.52,2.68,18.76%,9.89%,9.07%,-2.00%,-2.60%,35.21%,-0.80%,45.18%,-1.33%,-1.66%,0.02%,0.00%,1.99%,30.19%,2.43%,10.18%,4.07%,43.23%,21.02%,14.05%,29.62%,Nov 08 AMC,,230.84M,228.94M,0.05%,4.52,0.10M,88.28 - 125.84,-13.68%,23.05%,46.52,1.89,4.36,22.97K,"100,200",-2.08%,-0.94%,-8.36%,-0.95%,22.08%,16.32%,0.95,2.13,1.35% 1.31%,132.91,107.87,108.63,0.70%
IXHL,-,37.22M,-23.15M,0.09M,0.37,0.21,-,-,-,9,No / Yes,-,-12.34%,-,-,-,413.56,5.64,10.25,-,1.65,1.65,0.06,0.03,40.82%,2.99%,-1.42,-2.06,-0.49,-70.43%,-5.10%,-,-130.90%,19.10%,-3867.69%,-,-16966.67%,-,-21.70%,25.77%,0.00%,2.30%,-1.93%,-,-,-339.69%,100.00%,-39574.42%,-26922.09%,-,Nov 14 AMC,,15.87M,13.10M,0.38%,1.52,0.05M,1.50 - 12.68,-83.36%,40.67%,45.07,-,0.95,32.36K,"30,865",-28.23%,-10.59%,18.54%,-17.42%,-45.54%,-54.53%,2.19,0.26,15.91% 10.38%,-,2.00,2.11,5.50%
IZEA,-,47.91M,-15.76M,33.77M,3.15,3.16,-,-,-,153,Yes / Yes,-17.84%,-1.89%,-,-,-,1.42,0.88,0.88,-,4.32,4.32,0.00,0.00,-283.82%,3.84%,-0.94,-0.29,-0.10,-73.33%,62.82%,10.00%,30.03%,16.24%,-117.84%,-6.51%,-303.35%,11.87%,15.15%,27.66%,0.15%,7.73%,-43.56%,-21.74%,-26.76%,-29.56%,41.12%,-42.86%,-46.65%,-,Nov 14 AMC,,16.24M,12.27M,0.30%,1.22,0.04M,1.83 - 3.60,-22.64%,52.19%,50.69,1.00,1.38,30.48K,"41,959",-3.30%,5.49%,26.59%,2.01%,20.56%,38.56%,1.60,0.15,7.24% 4.99%,8.75,2.90,2.79,-3.97%
IZM,-,23.43M,-2.27M,177.93M,1.40,0.50,-,-,-,96,No / Yes,-,-0.70%,-,-,-,0.13,1.53,4.28,11.84,1.41,1.59,0.79,0.00,-,-10.30%,-0.22,-,-,-,-,-,-,13.59%,-228.66%,-17.01%,-286.09%,-4.23%,-58.67%,34.83%,0.00%,0.52%,43.83%,-3.55%,-14.70%,-14.77%,2.78%,-0.76%,-1.28%,-,-,,7.17M,7.17M,1.21%,1.47,0.09M,1.86 - 52.21,-95.90%,15.05%,43.96,-,0.95,58.89K,"55,958",0.00%,-0.93%,-3.17%,-13.71%,-80.06%,-79.48%,3.14,0.12,4.88% 4.78%,-,2.21,2.14,-3.17%
IZTC,-,92.25M,-5.10M,-,-0.58,0.02,-,-,-,29,No / No,-,9.45%,-,-,-,-,-,461.23,-,0.10,0.20,-,-,-,9.45%,-0.82,-,-,-39.30%,-,-,-,-,-,-,-225.30%,-,9.45%,24.80%,0.00%,46.90%,-53.94%,-146.70%,342.30%,-82.50%,100.00%,-,-,0.00%,-,,8.13M,5.24M,-,-,-,8.50 - 12.00,-5.42%,33.53%,-,-,0.75,48.59K,"36,344",-,-,-,-,-,31.21%,-,1.87,- -,-,11.12,11.35,2.07%
J,S&P 500,17.44B,640.12M,16.94B,53.25,9.76,1.05 (0.75%),1.16 (0.83%),"Oct 25, 2024",60000,Yes / Yes,-3.56%,-1.70%,27.71,17.14,2.55,1.03,2.64,14.39,18.58,1.14,1.14,0.54,0.39,-0.20%,3.25%,5.06,8.19,1.82,20.45%,13.06%,10.88%,34.99%,6.51%,-12.72%,6.34%,-9.46%,1.07%,12.94%,1.23%,-1.97%,85.14%,-1.51%,4.28%,9.76%,6.97%,20.17%,7.14%,3.78%,19.63%,Nov 19 BMO,,125.98M,122.72M,1.13%,1.78,1.39M,100.79 - 150.54,-6.77%,39.25%,48.20,2.11,1.04,780.48K,"809,235",-4.45%,-2.47%,13.99%,22.79%,26.29%,29.50%,0.71,2.94,2.65% 1.79%,147.12,140.01,140.35,0.24%
JACK,RUT,859.77M,-36.74M,1.59B,-44.23,2.75,1.76 (3.78%),1.76 (3.78%),"Aug 30, 2024",9523,Yes / Yes,-0.64%,-2.89%,-,7.47,-,0.54,-,16.94,-,0.42,0.43,-,-,7.94%,1.24%,-2.02,6.24,1.09,2.13%,1.25%,6.55%,14.89%,15.78%,-126.75%,-7.43%,-545.04%,-7.00%,-16.52%,2.89%,-0.29%,108.50%,-1.85%,-1.29%,-,-1.71%,26.47%,16.61%,-2.30%,27.93%,Nov 20 AMC,,19.73M,18.57M,9.87%,3.36,1.83M,40.84 - 86.20,-45.93%,14.13%,47.96,2.52,1.63,545.91K,"887,121",-1.77%,1.81%,-9.97%,-13.86%,-32.08%,-42.90%,1.95,2.19,5.47% 4.57%,54.82,44.76,46.61,4.13%
JAGX,-,10.67M,-37.74M,10.48M,1.31,1.22,-,-,-,49,No / Yes,-21.36%,-6.62%,-,-,-,1.02,0.75,0.80,-,1.36,1.84,2.13,1.39,55.70%,-13.82%,-16.10,-2.61,-1.67,99.27%,-234.62%,40.00%,86.10%,39.38%,96.10%,-2.25%,95.33%,10.49%,-77.23%,16.61%,0.00%,2.82%,-,-72.69%,-432.40%,-98.00%,57.62%,-284.92%,-360.13%,-,Nov 13 BMO,,9.24M,7.71M,4.31%,1.13,0.33M,0.90 - 30.86,-96.83%,8.79%,41.73,1.00,0.40,294.67K,"118,127",6.42%,-19.75%,-17.03%,-90.32%,-95.53%,-89.22%,0.90,0.09,14.01% 7.74%,14.50,0.96,0.98,1.99%
JAKK,RUT,284.30M,33.11M,687.70M,22.71,2.12,-,-,"Jun 12, 2013",659,Yes / Yes,2.51%,-4.45%,9.90,7.57,0.66,0.41,1.19,12.76,-,1.26,1.51,0.09,0.06,23.67%,2.18%,2.74,3.58,-0.93,-26.62%,5.51%,15.00%,-,5.91%,-67.32%,-3.96%,-2.71%,3.83%,15.52%,25.40%,0.38%,48.97%,0.68%,6.20%,14.20%,12.54%,30.66%,5.68%,4.81%,0.00%,Oct 30 AMC,,10.10M,8.20M,3.54%,3.46,0.29M,17.06 - 36.84,-26.47%,58.76%,45.14,1.00,1.46,83.89K,"122,151",-11.06%,4.19%,17.32%,36.13%,-1.35%,-23.80%,2.27,1.22,3.50% 4.02%,42.33,27.10,27.09,-0.04%
JAMF,RUT,1.83B,-69.44M,615.07M,5.62,1.78,-,-,-,2767,Yes / Yes,1.11%,-10.11%,-,16.80,-,2.97,2.61,8.23,63.46,0.89,0.89,0.54,0.54,-0.81%,-13.10%,-0.55,0.87,0.15,93.55%,45.67%,46.77%,-23.11%,31.00%,40.60%,13.85%,62.82%,11.68%,-16.84%,54.43%,-21.09%,43.16%,-4.75%,-4.43%,-9.78%,-6.27%,71.87%,-9.33%,-11.29%,-,Nov 07 AMC,,126.94M,58.53M,5.66%,7.86,3.31M,14.47 - 21.41,-31.43%,1.45%,28.83,1.55,1.22,421.47K,"513,162",-6.50%,-11.19%,-19.65%,-18.72%,-13.95%,-18.72%,0.41,0.60,4.05% 3.50%,22.89,14.84,14.68,-1.08%
JANX,RUT,2.41B,-60.54M,13.05M,12.54,13.14,-,-,-,64,Yes / Yes,-70.64%,-9.62%,-,-,-,184.66,3.84,3.66,-,38.80,38.80,0.04,0.03,-55.82%,-3.54%,-1.18,-1.70,-0.39,-4.86%,-22.55%,-,-92.62%,32.66%,20.33%,54.12%,-102.92%,-82.56%,11.63%,18.75%,-35.84%,86.59%,-1.60%,-11.19%,-12.05%,-8.93%,84.07%,-658.76%,-463.91%,-,Nov 06 AMC,,46.25M,42.64M,10.11%,7.23,4.31M,7.79 - 65.60,-26.65%,517.72%,36.87,1.17,0.89,595.88K,"530,199",-10.36%,-3.82%,7.12%,0.27%,445.58%,348.46%,3.45,2.82,4.77% 5.46%,66.10,48.76,48.12,-1.31%
JAZZ,-,6.96B,463.16M,3.99B,69.01,44.24,-,-,-,2800,Yes / Yes,1.78%,1.38%,16.94,5.44,1.09,1.74,1.70,2.66,6.16,3.74,4.26,1.49,1.47,20.22%,4.58%,6.94,21.60,5.92,10.58%,6.79%,15.48%,-3.53%,15.52%,504.09%,5.23%,65.30%,8.52%,4.14%,3.72%,-0.31%,97.16%,-0.95%,3.95%,12.09%,4.49%,73.85%,18.49%,11.60%,0.00%,Nov 06 AMC,,62.26M,58.21M,6.17%,5.31,3.59M,99.06 - 134.17,-12.36%,18.71%,51.81,1.55,0.95,677.25K,"642,653",-7.50%,2.22%,2.28%,8.26%,-3.45%,-4.40%,0.56,3.45,2.57% 2.64%,175.24,121.65,117.59,-3.34%
JBDI,-,13.49M,-1.00M,9.40M,0.02,0.02,-,-,-,117,No / Yes,-,-25.86%,-,-,-,1.43,33.29,26.98,14.99,0.70,0.80,5.25,2.75,-,-75.87%,-0.05,-,-,-220.00%,-,-,-,-,-,-,-,-17.90%,-85.43%,33.70%,0.00%,0.20%,-,-18.10%,-103.50%,-16.80%,63.70%,-5.60%,-10.40%,0.00%,-,,19.79M,4.02M,2.71%,0.05,0.11M,0.63 - 39.41,-98.31%,5.45%,38.90,-,0.09,2.31M,"215,913",-6.09%,-38.91%,-,-,-,-93.42%,-,0.39,6.70% 8.91%,-,0.69,0.67,-3.20%
JBGS,RUT,1.45B,-118.47M,564.11M,22.29,1.75,0.70 (4.69%),0.70 (4.69%),"Nov 07, 2024",844,Yes / Yes,8.18%,-12.20%,-,-,-,2.56,0.67,8.50,25.67,-,-,1.42,1.42,8.57%,-14.87%,-1.29,-1.64,-0.38,-67.95%,-25.19%,-,-,-1.11%,-93.01%,-7.12%,44.43%,-10.25%,-8.41%,0.12%,-29.00%,92.55%,-3.30%,-2.18%,-5.57%,-2.60%,26.46%,2.45%,-21.00%,-,Oct 29 AMC,,94.31M,84.37M,7.64%,11.52,6.44M,13.03 - 18.86,-20.94%,14.38%,22.96,3.67,0.96,559.12K,"534,373",-10.72%,-20.22%,-12.81%,2.76%,10.77%,-12.35%,1.07,0.50,3.97% 3.06%,17.00,15.18,14.91,-1.78%
JBHT,S&P 500,18.34B,568.97M,12.24B,39.67,1.20,1.72 (0.93%),1.72 (0.93%),"Nov 08, 2024",34718,Yes / Yes,2.18%,0.16%,33.42,25.65,3.71,1.50,4.64,152.80,42.09,0.94,0.94,0.38,0.26,7.19%,4.64%,5.51,7.17,1.64,-18.59%,26.42%,9.01%,9.50%,9.23%,-25.95%,-7.07%,-17.07%,-3.02%,4.25%,20.46%,-0.06%,74.48%,-0.15%,6.81%,14.19%,11.31%,10.22%,6.95%,4.65%,24.09%,Oct 15 AMC,,103.22M,80.20M,2.47%,2.27,1.98M,153.12 - 219.51,-16.18%,20.17%,52.36,1.92,0.87,872.64K,"756,944",-6.69%,4.03%,6.83%,12.13%,2.98%,-7.88%,1.15,5.18,2.70% 2.53%,192.81,182.35,184.00,0.90%
JBI,RUT,996.21M,105.90M,996.70M,3.73,0.73,-,-,-,1864,Yes / Yes,-7.30%,-10.43%,9.91,17.11,0.66,1.00,1.92,9.76,6.57,2.39,2.80,1.23,1.20,-60.99%,-22.20%,0.72,0.42,0.02,-42.88%,-22.06%,15.00%,-,10.13%,-19.86%,-7.91%,-67.50%,-17.85%,-42.71%,3.97%,-0.63%,110.69%,13.62%,8.17%,21.04%,9.14%,39.28%,20.25%,10.63%,0.00%,Oct 29 BMO,,146.86M,135.48M,11.25%,6.47,15.24M,6.68 - 15.86,-54.85%,7.27%,31.16,1.80,0.41,2.35M,"954,264",-3.89%,-30.75%,-33.83%,-50.35%,-30.01%,-45.13%,0.91,0.39,3.73% 4.28%,9.00,7.17,7.16,-0.14%
JBL,S&P 500,14.39B,1.39B,28.88B,15.27,19.86,0.32 (0.25%),0.32 (0.25%),"Nov 15, 2024",138000,Yes / Yes,5.73%,-0.30%,11.65,12.82,1.08,0.50,8.40,6.46,15.44,0.72,1.09,2.08,1.96,3.59%,5.35%,11.02,10.01,1.88,2.31%,15.18%,10.82%,43.90%,3.29%,81.83%,-16.77%,2.31%,-17.66%,5.62%,4.23%,-1.17%,94.28%,-4.16%,7.55%,60.31%,27.02%,9.35%,5.20%,4.81%,2.87%,Sep 26 BMO,,113.74M,108.07M,2.86%,2.21,3.09M,95.85 - 156.94,-18.26%,33.85%,52.08,1.67,0.53,1.40M,"740,083",-5.34%,1.58%,20.04%,6.02%,-1.90%,0.70%,1.24,2.93,1.85% 2.08%,145.62,128.26,128.29,0.02%
JBLU,RUT,2.20B,-855.00M,9.33B,7.62,11.64,-,-,-,-,Yes / Yes,0.40%,-1.36%,-,-,-,0.24,0.84,0.55,-,1.18,1.21,3.34,3.17,24.21%,-1.49%,-2.52,-0.55,-0.41,-104.68%,39.81%,44.90%,-,20.61%,-352.70%,-3.90%,62.31%,0.51%,3.61%,10.44%,0.00%,81.83%,-4.56%,-5.69%,-28.20%,-7.76%,1.92%,-1.54%,-9.17%,-,Oct 29 BMO,,339.00M,310.67M,15.51%,2.82,48.18M,4.09 - 8.07,-20.82%,56.43%,48.06,3.27,1.62,17.07M,"27,699,561",0.31%,-20.62%,33.96%,9.42%,47.24%,15.14%,1.95,0.42,7.58% 5.90%,6.22,7.06,6.39,-9.49%
JBSS,RUT,954.87M,54.32M,1.11B,26.79,0.04,-,0.85 (1.03%),"Aug 20, 2024",1800,Yes / Yes,-,-5.73%,17.77,-,-,0.86,3.08,2170.17,17.62,0.66,2.06,0.27,0.10,-,-9.71%,4.65,-,-,-,-,-,8.48%,4.13%,-16.56%,13.01%,-33.93%,17.98%,-14.48%,23.78%,0.00%,72.14%,-1.31%,11.51%,18.16%,15.88%,18.22%,6.83%,4.90%,15.52%,Oct 30 AMC,,9.01M,8.84M,1.57%,1.83,0.14M,79.07 - 106.56,-22.54%,4.39%,31.27,1.00,0.63,76.07K,"47,695",-4.27%,-14.21%,-17.15%,-17.21%,-9.84%,-18.09%,0.12,2.21,1.83% 2.75%,107.00,82.88,82.54,-0.41%
JBT,RUT,3.71B,173.50M,1.69B,49.75,17.01,0.40 (0.34%),0.40 (0.34%),"Aug 19, 2024",5100,Yes / Yes,2.62%,2.19%,21.85,20.60,1.59,2.19,2.37,6.92,111.02,2.00,2.55,0.41,0.41,6.76%,14.23%,5.39,5.72,1.85,27.99%,8.96%,13.79%,41.21%,-2.47%,-69.11%,-13.56%,-91.68%,12.79%,20.89%,1.31%,0.00%,110.34%,4.41%,5.26%,9.75%,7.77%,35.35%,9.11%,10.24%,2.20%,Oct 22 AMC,,31.86M,31.42M,8.20%,8.00,2.58M,82.64 - 122.90,-4.17%,42.52%,58.82,2.50,0.65,322.09K,"208,629",-0.59%,19.39%,32.92%,26.56%,11.47%,18.43%,1.22,3.92,3.68% 3.81%,117.00,116.42,117.78,1.17%
JCI,S&P 500,55.39B,1.71B,26.27B,23.90,0.92,1.50 (1.80%),1.48 (1.77%),"Sep 25, 2024",100000,Yes / Yes,-14.66%,4.78%,32.97,20.52,3.14,2.11,3.50,91.41,34.53,0.79,0.94,0.59,0.50,3.35%,8.44%,2.54,4.08,0.59,-5.25%,16.90%,10.50%,36.00%,-0.47%,-5.91%,-1.94%,17.94%,-9.53%,21.64%,0.37%,-16.17%,91.56%,-2.72%,3.79%,9.85%,7.07%,34.01%,10.33%,6.49%,58.68%,Nov 06 BMO,,680.37M,665.54M,1.17%,2.05,7.78M,51.40 - 87.16,-4.03%,62.73%,63.27,2.04,0.90,3.80M,"3,426,738",-3.41%,8.02%,18.99%,18.45%,61.11%,45.12%,1.32,1.66,1.55% 1.99%,88.32,84.40,83.65,-0.89%
JCSE,-,6.54M,0.62M,14.80M,2.55,0.68,-,-,-,103,No / Yes,-,-0.68%,10.06,-,-,0.44,0.49,1.84,22.56,1.00,2.03,0.59,0.28,-,-4.34%,0.12,-,-,-,-,-,-,2.31%,94.37%,-0.02%,538.13%,20.90%,25.80%,63.91%,0.00%,0.24%,19.68%,2.43%,4.98%,3.82%,24.99%,6.94%,4.20%,0.00%,-,,5.00M,1.81M,1.04%,0.35,0.02M,0.60 - 2.39,-47.70%,107.84%,49.31,-,0.11,53.17K,"5,930",8.70%,-10.71%,4.17%,66.67%,30.40%,66.67%,-0.28,0.17,8.41% 20.44%,-,1.16,1.25,7.76%
JCTC,-,14.38M,1.20M,48.55M,7.14,0.30,-,-,-,68,No / Yes,-,-1.43%,12.13,-,-,0.30,0.58,13.69,2.33,3.00,7.10,0.00,0.00,-,-8.09%,0.34,-,-,-,-,-,-,5.63%,331.36%,-11.18%,-78.95%,-16.10%,-15.67%,40.93%,0.00%,17.40%,-0.06%,3.69%,4.92%,4.80%,6.11%,-2.19%,2.48%,-,-,,3.50M,2.07M,0.05%,0.16,0.00M,3.86 - 6.35,-34.33%,8.03%,41.25,-,0.84,6.12K,"5,169",0.97%,-3.47%,-2.34%,-21.62%,-10.71%,-23.20%,0.36,0.17,1.66% 3.86%,-,4.13,4.17,0.94%
JD,-,49.43B,4.84B,155.08B,21.39,20.04,0.84 (2.37%),0.76 (2.15%),"Apr 04, 2024",517124,Yes / Yes,-1.26%,-8.95%,11.26,8.26,0.87,0.32,1.65,1.76,-,0.88,1.17,0.38,0.31,13.44%,-5.88%,3.14,4.28,0.76,30.81%,6.79%,12.95%,-,17.88%,49.67%,1.88%,56.10%,6.28%,18.46%,0.01%,0.00%,22.86%,-2.87%,5.50%,15.11%,11.36%,15.45%,3.28%,3.12%,34.39%,Nov 14 BMO,,1.41B,1.40B,2.83%,1.95,39.66M,20.82 - 47.82,-26.12%,69.69%,41.54,1.35,0.40,20.32M,"8,195,523",-9.46%,-11.63%,25.33%,1.67%,25.82%,22.29%,0.39,1.86,3.86% 3.38%,49.73,35.00,35.33,0.94%
JDZG,-,18.06M,-,-,0.10,0.04,-,-,-,-,No / Yes,-,-29.96%,-,-,-,-,7.31,18.06,-,2.02,2.02,0.18,0.00,-,-15.62%,-,-,-,-,-,-,-,69.82%,-,-,-,-,-59.65%,91.75%,0.00%,0.20%,-,-,-,-,-,-,-,-,-,,24.44M,2.00M,3.86%,0.04,0.08M,0.45 - 15.08,-95.06%,66.02%,42.42,-,0.12,2.18M,"256,806",-8.35%,-64.35%,28.47%,-93.77%,-,-81.69%,-,0.20,15.24% 20.10%,-,0.81,0.75,-8.24%
JEF,-,15.32B,524.22M,9.59B,48.89,57.52,1.32 (1.78%),1.30 (1.76%),"Nov 18, 2024",7564,Yes / Yes,-1.49%,7.93%,31.59,16.56,1.76,1.60,1.51,1.28,23.31,-,-,2.90,1.35,-3.23%,14.05%,2.34,4.46,0.85,168.79%,50.80%,18.00%,-1.01%,9.89%,69.45%,25.30%,234.84%,37.59%,41.90%,25.15%,18.00%,65.51%,4.69%,0.92%,5.56%,2.22%,91.75%,42.59%,5.47%,108.81%,Sep 25 AMC,,210.63M,153.81M,6.77%,6.77,10.41M,34.34 - 75.81,-2.61%,115.00%,70.69,1.80,0.73,1.54M,"1,127,249",-0.28%,11.11%,29.28%,56.85%,112.46%,82.70%,1.31,1.70,1.70% 2.04%,74.50,74.20,73.83,-0.50%
